season,week,game_date,team,place,qtr1,qtr2,qtr3,qtr4,ot,spread_line,total_line,half,full
2013,1,2013-09-05,BAL,away,7,10,0,10,,7.5,48.5,17,27
2013,1,2013-09-05,DEN,home,0,14,21,14,,7.5,48.5,14,49
2013,1,2013-09-08,ARI,away,0,10,14,0,,3.5,42.5,10,24
2013,1,2013-09-08,LA,home,0,10,3,14,,3.5,42.5,10,27
2013,1,2013-09-08,ATL,away,10,0,7,0,,3.5,54.5,10,17
2013,1,2013-09-08,NO,home,0,13,7,3,,3.5,54.5,13,23
2013,1,2013-09-08,CIN,away,7,7,7,0,,3.0,41.5,14,21
2013,1,2013-09-08,CHI,home,7,3,7,7,,3.0,41.5,10,24
2013,1,2013-09-08,GB,away,7,7,7,7,,5.0,47.0,14,28
2013,1,2013-09-08,SF,home,7,7,7,13,,5.0,47.0,14,34
2013,1,2013-09-08,KC,away,14,7,0,7,,-3.5,42.5,21,28
2013,1,2013-09-08,JAX,home,2,0,0,0,,-3.5,42.5,2,2
2013,1,2013-09-08,MIA,away,3,3,7,10,,2.5,40.5,6,23
2013,1,2013-09-08,CLE,home,0,7,3,0,,2.5,40.5,7,10
2013,1,2013-09-08,MIN,away,7,7,10,0,,4.0,46.0,14,24
2013,1,2013-09-08,DET,home,3,10,14,7,,4.0,46.0,13,34
2013,1,2013-09-08,NE,away,10,7,0,6,,-10.0,50.5,17,23
2013,1,2013-09-08,BUF,home,0,14,7,0,,-10.0,50.5,14,21
2013,1,2013-09-08,NYG,away,3,7,7,14,,3.5,49.5,10,31
2013,1,2013-09-08,DAL,home,3,10,14,9,,3.5,49.5,13,36
2013,1,2013-09-08,LV,away,0,7,3,7,,11.0,45.0,7,17
2013,1,2013-09-08,IND,home,7,7,0,7,,11.0,45.0,14,21
2013,1,2013-09-08,SEA,away,0,3,3,6,,-3.0,44.5,3,12
2013,1,2013-09-08,CAR,home,0,7,0,0,,-3.0,44.5,7,7
2013,1,2013-09-08,TB,away,7,7,0,3,,-4.0,40.0,14,17
2013,1,2013-09-08,NYJ,home,2,10,0,6,,-4.0,40.0,12,18
2013,1,2013-09-08,TEN,away,0,7,3,6,,6.0,42.0,7,16
2013,1,2013-09-08,PIT,home,2,0,0,7,,6.0,42.0,2,9
2013,1,2013-09-09,HOU,away,7,0,7,17,,-5.0,44.0,7,31
2013,1,2013-09-09,LAC,home,7,14,7,0,,-5.0,44.0,21,28
2013,1,2013-09-09,PHI,away,12,14,7,0,,4.0,51.0,26,33
2013,1,2013-09-09,WAS,home,7,0,7,13,,4.0,51.0,7,27
2013,2,2013-09-12,NYJ,away,3,0,7,0,,10.5,43.0,3,10
2013,2,2013-09-12,NE,home,10,3,0,0,,10.5,43.0,13,13
2013,2,2013-09-15,CAR,away,0,7,7,9,,-3.5,43.5,7,23
2013,2,2013-09-15,BUF,home,0,3,11,10,,-3.5,43.5,3,24
2013,2,2013-09-15,CLE,away,3,3,0,0,,5.5,43.5,6,6
2013,2,2013-09-15,BAL,home,0,0,7,7,,5.5,43.5,0,14
2013,2,2013-09-15,DAL,away,10,0,3,3,,3.0,45.0,10,16
2013,2,2013-09-15,KC,home,7,0,7,3,,3.0,45.0,7,17
2013,2,2013-09-15,DEN,away,0,10,14,17,,-3.5,52.5,10,41
2013,2,2013-09-15,NYG,home,3,6,7,7,,-3.5,52.5,9,23
2013,2,2013-09-15,DET,away,0,14,7,0,,-1.0,47.5,14,21
2013,2,2013-09-15,ARI,home,0,10,6,9,,-1.0,47.5,10,25
2013,2,2013-09-15,JAX,away,0,3,0,6,,3.5,40.5,3,9
2013,2,2013-09-15,LV,home,7,3,3,6,,3.5,40.5,10,19
2013,2,2013-09-15,MIA,away,14,3,7,0,,1.0,43.5,17,24
2013,2,2013-09-15,IND,home,3,14,3,0,,1.0,43.5,17,20
2013,2,2013-09-15,MIN,away,7,14,3,6,,6.0,41.0,21,30
2013,2,2013-09-15,CHI,home,14,10,0,7,,6.0,41.0,24,31
2013,2,2013-09-15,NO,away,10,0,3,3,,-3.0,48.5,10,16
2013,2,2013-09-15,TB,home,7,0,0,7,,-3.0,48.5,7,14
2013,2,2013-09-15,LAC,away,3,10,7,13,,7.5,51.0,13,33
2013,2,2013-09-15,PHI,home,3,7,10,10,,7.5,51.0,10,30
2013,2,2013-09-15,SF,away,0,0,3,0,,3.0,43.5,0,3
2013,2,2013-09-15,SEA,home,0,5,7,17,,3.0,43.5,5,29
2013,2,2013-09-15,LA,away,0,3,7,14,,4.0,47.5,3,24
2013,2,2013-09-15,ATL,home,14,10,0,7,,4.0,47.5,24,31
2013,2,2013-09-15,TEN,away,7,3,0,14,0,7.5,42.5,10,24
2013,2,2013-09-15,HOU,home,7,0,7,10,6,7.5,42.5,7,30
2013,2,2013-09-15,WAS,away,0,0,7,13,,9.0,48.5,0,20
2013,2,2013-09-15,GB,home,10,14,14,0,,9.0,48.5,24,38
2013,2,2013-09-16,PIT,away,3,7,0,0,,7.0,40.0,10,10
2013,2,2013-09-16,CIN,home,7,3,7,3,,7.0,40.0,10,20
2013,3,2013-09-19,KC,away,10,6,0,10,,3.0,50.0,16,26
2013,3,2013-09-19,PHI,home,6,0,3,7,,3.0,50.0,6,16
2013,3,2013-09-22,ARI,away,7,0,0,0,,8.0,48.5,7,7
2013,3,2013-09-22,NO,home,7,7,3,14,,8.0,48.5,14,31
2013,3,2013-09-22,ATL,away,7,6,7,3,,3.0,45.5,13,23
2013,3,2013-09-22,MIA,home,0,10,10,7,,3.0,45.5,10,27
2013,3,2013-09-22,BUF,away,0,6,6,8,,2.5,41.0,6,20
2013,3,2013-09-22,NYJ,home,7,10,3,7,,2.5,41.0,17,27
2013,3,2013-09-22,CHI,away,17,7,3,13,,-2.5,40.5,24,40
2013,3,2013-09-22,PIT,home,0,10,10,3,,-2.5,40.5,10,23
2013,3,2013-09-22,CLE,away,7,17,0,7,,7.0,40.0,24,31
2013,3,2013-09-22,MIN,home,7,10,7,3,,7.0,40.0,17,27
2013,3,2013-09-22,DET,away,7,10,0,10,,-1.0,48.5,17,27
2013,3,2013-09-22,WAS,home,7,7,3,3,,-1.0,48.5,14,20
2013,3,2013-09-22,GB,away,0,16,14,0,,-3.0,49.5,16,30
2013,3,2013-09-22,CIN,home,14,0,7,13,,-3.0,49.5,14,34
2013,3,2013-09-22,HOU,away,3,6,0,0,,1.0,44.5,9,9
2013,3,2013-09-22,BAL,home,0,17,7,6,,1.0,44.5,17,30
2013,3,2013-09-22,IND,away,7,3,3,14,,10.5,45.5,10,27
